"","sido","center","type","applicants","total","grade1","grade2","grade3","grade4","grade5","outer"
"1","서울","영등포운영센터","합계",4708,3058,355,425,1160,925,193,519
"2","서울","영등포운영센터","일반",3751,2422,281,337,898,736,170,375
"3","서울","영등포운영센터","기초수급",575,302,33,41,110,103,15,129
"4","서울","영등포운영센터","의료급여",42,21,1,3,11,5,1,5
"5","서울","영등포운영센터","경감",340,313,40,44,141,81,7,10
"6","서울","광진운영센터","합계",3422,2211,141,356,879,702,133,496
"7","서울","광진운영센터","일반",2633,1683,108,289,664,512,110,364
"8","서울","광진운영센터","기초수급",448,232,15,26,83,93,15,117
"9","서울","광진운영센터","의료급여",38,25,2,1,9,12,1,1
"10","서울","광진운영센터","경감",303,271,16,40,123,85,7,14
"11","서울","동대문운영센터","합계",5092,3488,393,594,1288,1104,109,436
"12","서울","동대문운영센터","일반",3606,2485,296,412,916,763,98,284
"13","서울","동대문운영센터","기초수급",987,546,46,84,185,222,9,140
"14","서울","동대문운영센터","의료급여",42,27,4,6,8,9,0,5
"15","서울","동대문운영센터","경감",457,430,47,92,179,110,2,7
"16","서울","성북운영센터","합계",5779,3810,403,632,1499,1069,207,706
"17","서울","성북운영센터","일반",4279,2798,310,469,1084,761,174,504
"18","서울","성북운영센터","기초수급",951,518,32,78,193,192,23,187
"19","서울","성북운영센터","의료급여",54,31,5,3,15,6,2,5
"20","서울","성북운영센터","경감",495,463,56,82,207,110,8,10
"21","서울","노원운영센터","합계",8116,4794,456,566,1601,1807,364,1728
"22","서울","노원운영센터","일반",4945,2892,256,345,961,1065,265,984
"23","서울","노원운영센터","기초수급",2297,1172,120,128,369,483,72,667
"24","서울","노원운영센터","의료급여",126,78,5,9,30,32,2,22
"25","서울","노원운영센터","경감",748,652,75,84,241,227,25,55
"26","서울","서대문운영센터","합계",3901,2476,226,389,976,789,96,478
"27","서울","서대문운영센터","일반",2998,1852,168,281,731,596,76,366
"28","서울","서대문운영센터","기초수급",526,287,17,48,101,108,13,101
"29","서울","서대문운영센터","의료급여",32,26,5,1,7,11,2,1
"30","서울","서대문운영센터","경감",345,311,36,59,137,74,5,10
"31","서울","양천운영센터","합계",5268,3553,310,439,1390,1228,186,787
"32","서울","양천운영센터","일반",3808,2536,219,311,977,874,155,534
"33","서울","양천운영센터","기초수급",846,483,44,51,168,195,25,216
"34","서울","양천운영센터","의료급여",66,45,2,5,21,16,1,9
"35","서울","양천운영센터","경감",548,489,45,72,224,143,5,28
"36","서울","구로운영센터","합계",5383,3745,405,737,1470,1042,91,589
"37","서울","구로운영센터","일반",4015,2724,298,530,1059,760,77,427
"38","서울","구로운영센터","기초수급",733,442,34,67,182,152,7,143
"39","서울","구로운영센터","의료급여",56,40,5,5,16,14,0,5
"40","서울","구로운영센터","경감",579,539,68,135,213,116,7,14
"41","서울","관악운영센터","합계",5401,3527,341,546,1332,1146,162,627
"42","서울","관악운영센터","일반",3844,2526,243,391,957,806,129,391
"43","서울","관악운영센터","기초수급",1051,563,48,81,197,210,27,218
"44","서울","관악운영센터","의료급여",58,34,1,3,10,18,2,5
"45","서울","관악운영센터","경감",448,404,49,71,168,112,4,13
"46","서울","서초운영센터","합계",3195,2246,287,360,878,632,89,306
"47","서울","서초운영센터","일반",2719,1917,248,305,737,544,83,247
"48","서울","서초운영센터","기초수급",280,155,16,23,62,50,4,53
"49","서울","서초운영센터","의료급여",21,16,0,5,7,4,0,0
"50","서울","서초운영센터","경감",175,158,23,27,72,34,2,6
"51","서울","송파운영센터","합계",5698,3828,427,615,1440,1112,234,584
"52","서울","송파운영센터","일반",4588,3015,344,470,1114,872,215,469
"53","서울","송파운영센터","기초수급",644,400,39,59,137,154,11,98
"54","서울","송파운영센터","의료급여",51,29,2,4,12,11,0,10
"55","서울","송파운영센터","경감",415,384,42,82,177,75,8,7
"56","서울","마포운영센터","합계",3741,2275,203,278,707,893,194,509
"57","서울","마포운영센터","일반",2871,1715,156,215,539,648,157,357
"58","서울","마포운영센터","기초수급",538,270,13,23,70,145,19,138
"59","서울","마포운영센터","의료급여",30,20,4,1,3,10,2,3
"60","서울","마포운영센터","경감",302,270,30,39,95,90,16,11
"61","서울","종로운영센터","합계",1900,1236,156,256,401,368,55,191
"62","서울","종로운영센터","일반",1517,1003,127,201,340,289,46,131
"63","서울","종로운영센터","기초수급",266,134,14,30,30,57,3,55
"64","서울","종로운영센터","의료급여",11,6,0,2,2,1,1,0
"65","서울","종로운영센터","경감",106,93,15,23,29,21,5,5
"66","서울","용산운영센터","합계",2444,1539,171,261,576,475,56,295
"67","서울","용산운영센터","일반",1902,1230,133,212,473,362,50,196
"68","서울","용산운영센터","기초수급",368,151,13,19,46,70,3,94
"69","서울","용산운영센터","의료급여",20,14,0,2,8,4,0,3
"70","서울","용산운영센터","경감",154,144,25,28,49,39,3,2
"71","서울","성동운영센터","합계",3028,2013,170,278,670,730,165,325
"72","서울","성동운영센터","일반",2311,1519,130,216,496,542,135,243
"73","서울","성동운영센터","기초수급",460,267,20,32,78,114,23,69
"74","서울","성동운영센터","의료급여",15,9,1,0,5,2,1,4
"75","서울","성동운영센터","경감",242,218,19,30,91,72,6,9
"76","서울","중랑운영센터","합계",5457,3707,379,622,1381,1135,190,644
"77","서울","중랑운영센터","일반",3560,2335,218,381,880,715,141,379
"78","서울","중랑운영센터","기초수급",1307,853,105,131,306,280,31,230
"79","서울","중랑운영센터","의료급여",53,35,2,6,17,10,0,12
"80","서울","중랑운영센터","경감",537,484,54,104,178,130,18,23
"81","서울","강북운영센터","합계",4788,3078,199,456,1145,1123,155,769
"82","서울","강북운영센터","일반",3201,1994,120,303,763,694,114,493
"83","서울","강북운영센터","기초수급",1060,630,44,75,203,281,27,252
"84","서울","강북운영센터","의료급여",47,27,2,5,10,8,2,8
"85","서울","강북운영센터","경감",480,427,33,73,169,140,12,16
"86","서울","도봉운영센터","합계",5565,3674,350,558,1276,1199,291,816
"87","서울","도봉운영센터","일반",4096,2607,240,363,930,843,231,601
"88","서울","도봉운영센터","기초수급",796,469,49,75,148,167,30,180
"89","서울","도봉운영센터","의료급여",67,51,5,17,11,17,1,11
"90","서울","도봉운영센터","경감",606,547,56,103,187,172,29,24
"91","서울","은평운영센터","합계",6480,4209,372,689,1571,1304,273,728
"92","서울","은평운영센터","일반",4686,3003,254,499,1119,920,211,482
"93","서울","은평운영센터","기초수급",1122,629,58,92,218,224,37,221
"94","서울","은평운영센터","의료급여",60,33,5,3,16,7,2,8
"95","서울","은평운영센터","경감",612,544,55,95,218,153,23,17
"96","서울","강서운영센터","합계",7918,5536,437,741,2000,2112,246,1013
"97","서울","강서운영센터","일반",4937,3421,275,507,1279,1186,174,550
"98","서울","강서운영센터","기초수급",2127,1376,90,120,437,678,51,410
"99","서울","강서운영센터","의료급여",112,71,5,9,30,23,4,17
"100","서울","강서운영센터","경감",742,668,67,105,254,225,17,36
"101","서울","금천운영센터","합계",3272,1955,168,282,702,671,132,474
"102","서울","금천운영센터","일반",2139,1256,112,187,444,412,101,287
"103","서울","금천운영센터","기초수급",766,375,19,51,122,164,19,171
"104","서울","금천운영센터","의료급여",23,13,2,1,3,6,1,4
"105","서울","금천운영센터","경감",344,311,35,43,133,89,11,12
"106","서울","동작운영센터","합계",4131,2730,245,434,973,934,144,446
"107","서울","동작운영센터","일반",3089,2033,177,310,742,685,119,306
"108","서울","동작운영센터","기초수급",646,339,31,54,91,148,15,131
"109","서울","동작운영센터","의료급여",38,27,3,3,11,9,1,3
"110","서울","동작운영센터","경감",358,331,34,67,129,92,9,6
"111","서울","강남운영센터","합계",4720,2975,363,471,1065,903,173,669
"112","서울","강남운영센터","일반",3562,2313,328,397,814,626,148,423
"113","서울","강남운영센터","기초수급",853,422,22,36,146,200,18,220
"114","서울","강남운영센터","의료급여",55,28,1,6,11,10,0,12
"115","서울","강남운영센터","경감",250,212,12,32,94,67,7,14
"116","서울","강동운영센터","합계",5403,3543,531,511,1304,1022,175,691
"117","서울","강동운영센터","일반",4263,2763,440,395,1001,788,139,515
"118","서울","강동운영센터","기초수급",605,307,29,30,109,120,19,151
"119","서울","강동운영센터","의료급여",82,59,11,9,23,12,4,10
"120","서울","강동운영센터","경감",453,414,51,77,171,102,13,15
"121","서울","중구운영센터","합계",1490,867,70,138,339,264,56,285
"122","서울","중구운영센터","일반",1121,686,54,115,265,211,41,175
"123","서울","중구운영센터","기초수급",272,102,9,12,36,35,10,96
"124","서울","중구운영센터","의료급여",12,4,0,0,3,0,1,5
"125","서울","중구운영센터","경감",85,75,7,11,35,18,4,9
"126","부산","부산진구운영센터","합계",5756,3382,346,472,1311,1137,116,1098
"127","부산","부산진구운영센터","일반",4079,2390,242,335,918,797,98,711
"128","부산","부산진구운영센터","기초수급",1085,517,44,70,188,207,8,333
"129","부산","부산진구운영센터","의료급여",86,43,2,6,20,14,1,19
"130","부산","부산진구운영센터","경감",506,432,58,61,185,119,9,35
"131","부산","부산중부운영센터","합계",6002,3370,284,521,1270,1183,112,1303
"132","부산","부산중부운영센터","일반",3631,2064,178,320,775,708,83,685
"133","부산","부산중부운영센터","기초수급",1775,835,70,104,283,355,23,563
"134","부산","부산중부운영센터","의료급여",50,26,4,7,8,7,0,14
"135","부산","부산중부운영센터","경감",546,445,32,90,204,113,6,41
"136","부산","부산사하운영센터","합계",5133,2705,220,349,1023,993,120,887
"137","부산","부산사하운영센터","일반",3336,1730,148,229,644,627,82,508
"138","부산","부산사하운영센터","기초수급",1301,585,28,69,219,236,33,345
"139","부산","부산사하운영센터","의료급여",59,36,3,4,15,13,1,9
"140","부산","부산사하운영센터","경감",437,354,41,47,145,117,4,25
"141","부산","부산동래운영센터","합계",3950,2384,189,346,810,902,137,634
"142","부산","부산동래운영센터","일반",2967,1745,139,238,604,646,118,455
"143","부산","부산동래운영센터","기초수급",596,315,23,50,86,149,7,162
"144","부산","부산동래운영센터","의료급여",44,33,1,4,12,13,3,2
"145","부산","부산동래운영센터","경감",343,291,26,54,108,94,9,15
"146","부산","부산사상운영센터","합계",3142,1652,158,282,493,647,72,667
"147","부산","부산사상운영센터","일반",1996,1060,108,182,325,392,53,361
"148","부산","부산사상운영센터","기초수급",834,361,22,55,98,174,12,273
"149","부산","부산사상운영센터","의료급여",52,28,2,7,5,11,3,10
"150","부산","부산사상운영센터","경감",260,203,26,38,65,70,4,23
"151","부산","부산남부운영센터","합계",7322,4045,359,582,1307,1535,262,1487
"152","부산","부산남부운영센터","일반",5450,2930,268,419,928,1097,218,1077
"153","부산","부산남부운영센터","기초수급",1159,537,37,67,164,244,25,351
"154","부산","부산남부운영센터","의료급여",81,42,5,2,17,15,3,15
"155","부산","부산남부운영센터","경감",632,536,49,94,198,179,16,44
"156","부산","기장운영센터","합계",2815,1778,214,306,674,521,63,380
"157","부산","기장운영센터","일반",1902,1161,135,190,437,352,47,241
"158","부산","기장운영센터","기초수급",586,340,34,53,130,110,13,123
"159","부산","기장운영센터","의료급여",36,20,1,3,10,6,0,5
"160","부산","기장운영센터","경감",291,257,44,60,97,53,3,11
"161","부산","부산연제운영센터","합계",3317,1929,182,339,663,635,110,563
"162","부산","부산연제운영센터","일반",2489,1411,131,249,487,456,88,415
"163","부산","부산연제운영센터","기초수급",513,261,26,33,79,113,10,135
"164","부산","부산연제운영센터","의료급여",25,13,1,4,4,3,1,4
"165","부산","부산연제운영센터","경감",290,244,24,53,93,63,11,9
"166","부산","부산서부운영센터","합계",2279,1216,96,134,414,519,53,476
"167","부산","부산서부운영센터","일반",1552,815,60,88,287,339,41,313
"168","부산","부산서부운영센터","기초수급",511,220,12,22,68,111,7,146
"169","부산","부산서부운영센터","의료급여",24,12,2,2,3,5,0,5
"170","부산","부산서부운영센터","경감",192,169,22,22,56,64,5,12
"171","부산","부산금정운영센터","합계",4215,2240,183,358,788,789,122,861
"172","부산","부산금정운영센터","일반",3048,1594,118,231,575,575,95,564
"173","부산","부산금정운영센터","기초수급",784,349,37,64,107,122,19,259
"174","부산","부산금정운영센터","의료급여",47,23,6,4,5,6,2,10
"175","부산","부산금정운영센터","경감",336,274,22,59,101,86,6,28
"176","부산","부산북부운영센터","합계",5201,2865,206,430,931,1209,89,1103
"177","부산","부산북부운영센터","일반",3206,1841,132,290,605,744,70,556
"178","부산","부산북부운영센터","기초수급",1552,662,36,76,191,348,11,519
"179","부산","부산북부운영센터","의료급여",67,33,3,5,9,16,0,12
"180","부산","부산북부운영센터","경감",376,329,35,59,126,101,8,16
"181","부산","해운대운영센터","합계",5939,3272,283,413,1121,1308,147,1280
"182","부산","해운대운영센터","일반",4095,2280,198,280,790,896,116,771
"183","부산","해운대운영센터","기초수급",1298,553,40,61,175,254,23,452
"184","부산","해운대운영센터","의료급여",77,39,3,1,16,18,1,21
"185","부산","해운대운영센터","경감",469,400,42,71,140,140,7,36
"186","대구","대구달서운영센터","합계",7262,4420,307,596,1696,1479,342,1118
"187","대구","대구달서운영센터","일반",4742,2872,199,384,1114,919,256,662
"188","대구","대구달서운영센터","기초수급",1655,845,47,94,288,352,64,397
"189","대구","대구달서운영센터","의료급여",141,77,4,14,24,30,5,22
"190","대구","대구달서운영센터","경감",724,626,57,104,270,178,17,37
"191","대구","대구중부운영센터","합계",5619,3371,318,562,1302,983,206,1053
"192","대구","대구중부운영센터","일반",3798,2223,188,373,869,634,159,683
"193","대구","대구중부운영센터","기초수급",1136,589,70,97,198,194,30,314
"194","대구","대구중부운영센터","의료급여",84,51,4,3,22,19,3,16
"195","대구","대구중부운영센터","경감",601,508,56,89,213,136,14,40
"196","대구","대구동부운영센터","합계",6044,3810,287,557,1445,1279,242,1075
"197","대구","대구동부운영센터","일반",3972,2491,177,359,944,822,189,651
"198","대구","대구동부운영센터","기초수급",1357,727,67,99,260,262,39,368
"199","대구","대구동부운영센터","의료급여",89,48,3,7,20,16,2,19
"200","대구","대구동부운영센터","경감",626,544,40,92,221,179,12,37
"201","대구","달성운영센터","합계",3135,2011,202,327,744,638,100,502
"202","대구","달성운영센터","일반",2213,1346,111,206,504,449,76,365
"203","대구","달성운영센터","기초수급",535,330,53,59,108,94,16,115
"204","대구","달성운영센터","의료급여",44,29,5,6,7,10,1,8
"205","대구","달성운영센터","경감",343,306,33,56,125,85,7,14
"206","대구","대구남부운영센터","합계",3760,2253,192,423,955,603,80,638
"207","대구","대구남부운영센터","일반",2500,1476,129,277,619,393,58,383
"208","대구","대구남부운영센터","기초수급",805,396,32,71,165,112,16,220
"209","대구","대구남부운영센터","의료급여",65,41,4,2,19,15,1,12
"210","대구","대구남부운영센터","경감",390,340,27,73,152,83,5,23
"211","대구","대구북부운영센터","합계",6351,3728,293,602,1292,1261,280,1205
"212","대구","대구북부운영센터","일반",4331,2506,191,378,857,858,222,780
"213","대구","대구북부운영센터","기초수급",1237,590,45,98,206,208,33,363
"214","대구","대구북부운영센터","의료급여",104,62,3,7,22,24,6,19
"215","대구","대구북부운영센터","경감",679,570,54,119,207,171,19,43
"216","대구","대구수성운영센터","합계",5706,3006,217,421,901,1097,370,1305
"217","대구","대구수성운영센터","일반",4055,2174,152,290,674,767,291,832
"218","대구","대구수성운영센터","기초수급",1157,451,38,64,108,193,48,413
"219","대구","대구수성운영센터","의료급여",80,43,2,6,15,18,2,22
"220","대구","대구수성운영센터","경감",414,338,25,61,104,119,29,38
"221","인천","인천중부운영센터","합계",3837,2349,148,328,842,895,136,838
