"","sido","center","type","applicants","total","grade1","grade2","grade3","grade4","grade5","outer"
"1","서울","영등포운영센터","합계",4711,3117,366,447,1149,955,200,520
"2","서울","영등포운영센터","일반",3645,2372,275,344,870,720,163,372
"3","서울","영등포운영센터","기초수급",578,309,39,42,110,103,15,131
"4","서울","영등포운영센터","의료급여",41,20,1,3,11,4,1,5
"5","서울","영등포운영센터","경감",447,416,51,58,158,128,21,12
"6","서울","광진운영센터","합계",3423,2235,144,339,892,726,134,507
"7","서울","광진운영센터","일반",2549,1625,108,262,646,510,99,373
"8","서울","광진운영센터","기초수급",454,234,14,25,82,98,15,119
"9","서울","광진운영센터","의료급여",38,27,1,1,12,11,2,2
"10","서울","광진운영센터","경감",382,349,21,51,152,107,18,13
"11","서울","동대문운영센터","합계",5148,3523,396,608,1291,1114,114,431
"12","서울","동대문운영센터","일반",3504,2367,287,405,857,727,91,279
"13","서울","동대문운영센터","기초수급",1010,571,48,85,194,232,12,141
"14","서울","동대문운영센터","의료급여",43,27,4,8,7,8,0,5
"15","서울","동대문운영센터","경감",591,558,57,110,233,147,11,6
"16","서울","성북운영센터","합계",5792,3891,424,631,1523,1110,203,716
"17","서울","성북운영센터","일반",4190,2766,315,465,1071,763,152,517
"18","서울","성북운영센터","기초수급",953,535,37,72,206,194,26,184
"19","서울","성북운영센터","의료급여",54,31,7,2,14,6,2,6
"20","서울","성북운영센터","경감",595,559,65,92,232,147,23,9
"21","서울","노원운영센터","합계",8172,4908,470,579,1618,1858,383,1741
"22","서울","노원운영센터","일반",4790,2773,262,339,913,1019,240,992
"23","서울","노원운영센터","기초수급",2322,1216,121,135,377,503,80,674
"24","서울","노원운영센터","의료급여",125,77,5,8,28,34,2,22
"25","서울","노원운영센터","경감",935,842,82,97,300,302,61,53
"26","서울","서대문운영센터","합계",3912,2534,234,399,1005,797,99,477
"27","서울","서대문운영센터","일반",2911,1812,174,287,720,557,74,364
"28","서울","서대문운영센터","기초수급",533,298,17,46,109,114,12,102
"29","서울","서대문운영센터","의료급여",34,25,5,0,8,10,2,1
"30","서울","서대문운영센터","경감",434,399,38,66,168,116,11,10
