"","sido","center","type","applicants","total","grade1","grade2","grade3","grade4","grade5","outer"
"1","서울","영등포운영센터","합계",4776,3137,369,454,1119,973,222,513
"2","서울","영등포운영센터","일반",3689,2375,264,345,846,739,181,367
"3","서울","영등포운영센터","기초수급",592,320,46,37,113,107,17,130
"4","서울","영등포운영센터","의료급여",38,19,1,2,10,5,1,4
"5","서울","영등포운영센터","경감",457,423,58,70,150,122,23,12
"6","서울","광진운영센터","합계",3494,2272,142,335,893,757,145,505
"7","서울","광진운영센터","일반",2602,1652,108,256,640,538,110,367
"8","서울","광진운영센터","기초수급",475,248,15,27,92,98,16,123
"9","서울","광진운영센터","의료급여",37,26,0,1,11,12,2,2
"10","서울","광진운영센터","경감",380,346,19,51,150,109,17,13
"11","서울","동대문운영센터","합계",5235,3592,401,605,1288,1164,134,434
"12","서울","동대문운영센터","일반",3571,2429,296,400,867,762,104,279
"13","서울","동대문운영센터","기초수급",1029,573,47,82,199,231,14,145
"14","서울","동대문운영센터","의료급여",41,28,4,8,6,10,0,4
"15","서울","동대문운영센터","경감",594,562,54,115,216,161,16,6
"16","서울","성북운영센터","합계",5862,3919,416,633,1511,1155,204,698
"17","서울","성북운영센터","일반",4216,2761,306,462,1059,781,153,500
"18","서울","성북운영센터","기초수급",974,549,36,69,211,203,30,182
"19","서울","성북운영센터","의료급여",56,31,6,3,14,5,3,5
"20","서울","성북운영센터","경감",616,578,68,99,227,166,18,11
"21","서울","노원운영센터","합계",8266,4941,494,576,1600,1883,388,1705
"22","서울","노원운영센터","일반",4845,2792,274,337,916,1035,230,963
"23","서울","노원운영센터","기초수급",2346,1230,128,138,366,509,89,667
"24","서울","노원운영센터","의료급여",131,75,5,8,29,31,2,21
"25","서울","노원운영센터","경감",944,844,87,93,289,308,67,54
"26","서울","서대문운영센터","합계",3957,2533,234,386,1016,799,98,474
"27","서울","서대문운영센터","일반",2959,1815,174,277,742,549,73,363
"28","서울","서대문운영센터","기초수급",538,302,17,43,109,122,11,100
"29","서울","서대문운영센터","의료급여",35,26,5,0,8,12,1,1
"30","서울","서대문운영센터","경감",425,390,38,66,157,116,13,10
"31","서울","양천운영센터","합계",5311,3599,299,441,1404,1254,201,784
"32","서울","양천운영센터","일반",3702,2435,202,293,941,843,156,526
"33","서울","양천운영센터","기초수급",857,494,39,59,170,201,25,224
"34","서울","양천운영센터","의료급여",65,42,5,3,18,14,2,9
